dum,t,solar,wind
1,1,0,0.220975104
2,2,0,0.200572614
3,3,0,0.36079668
4,4,0,0.350692946
5,5,0,0.42073029
6,6,0,0.580485477
7,7,0,0.617423237
8,8,0,0.629211618
9,9,0,0.632207469
10,10,0.19424,0.949784232
11,11,0.57382,0.95
12,12,0.7378,0.94986722
13,13,0.70286,0.948311203
14,14,0.53178,0.946058091
15,15,0.36734,0.93046473
16,16,0.33052,0.929049793
17,17,0.19386,0.933045643
18,18,0.1339,0.931879668
19,19,0,0.942307054
20,20,0,0.932211618
21,21,0,0.934556017
22,22,0,0.93519917
23,23,0,0.940983402
24,24,0,0.930564315
25,25,0,0.923136929
26,26,0,0.933630705
27,27,0,0.938481328
28,28,0,0.94560166
29,29,0,0.942103734
30,30,0,0.946141079
31,31,0,0.949477178
32,32,0,0.939576763
33,33,0,0.93766805
34,34,0.0107,0.931377593
35,35,0.2044,0.948705394
36,36,0.24686,0.949684647
37,37,0.20764,0.126497925
38,38,0.4061,0.126564315
39,39,0.53282,0.126539419
40,40,0.55018,0.126564315
41,41,0.4367,0.126556017
42,42,0.08586,0.126190871
43,43,0,0.752070539
44,44,0,0.797676349
45,45,0,0.795244813
46,46,0,0.799821577
47,47,0,0.732784232
48,48,0,0.704692946
49,49,0,0.583958506
50,50,0,0.417385892
51,51,0,0.265016598
52,52,0,0.477190871
53,53,0,0.762473029
54,54,0,0.696394191
55,55,0,0.733709544
56,56,0,0.795049793
57,57,0,0.80646473
58,58,0.18102,0.806875519
59,59,0.56256,0.807647303
60,60,0.65472,0.803688797
61,61,0.68078,0.784062241
62,62,0.72238,0.780253112
63,63,0.64174,0.7736639
64,64,0.67858,0.784954357
65,65,0.6468,0.706219917
66,66,0.42408,0.492182573
67,67,0,0.380435685
68,68,0,0.313950207
69,69,0,0.18913278
70,70,0,0.071381743
71,71,0,0.118647303
72,72,0,0.096344398
73,73,0,0.067755187
74,74,0,0.140456432
75,75,0,0.237377593
76,76,0,0.296008299
77,77,0,0.468228216
78,78,0,0.384170124
79,79,0,0.395103734
80,80,0,0.412887967
81,81,0,0.606041494
82,82,0.20208,0.740804979
83,83,0.63774,0.408605809
84,84,0.67316,0.28093361
85,85,0.68416,0.226410788
86,86,0.61426,0.272626556
87,87,0.67802,0.206282158
88,88,0.66504,0.223526971
89,89,0.59826,0.140419087
90,90,0.46216,0.155921162
91,91,0,0.165186722
92,92,0,0.400688797
93,93,0,0.627630705
94,94,0,0.838543568
95,95,0,0.886788382
96,96,0,0.886099585
97,97,0,0.947784232
98,98,0,0.945846473
99,99,0,0.944701245
100,100,0,0.946153527
101,101,0,0.946900415
102,102,0,0.945439834
103,103,0,0.948775934
104,104,0,0.947813278
105,105,0,0.946917012
106,106,0.19174,0.949775934
107,107,0.6725,0.676215768
108,108,0.65046,0.235074689
109,109,0.73376,0.29893361
110,110,0.65238,0.322858921
111,111,0.7451,0.210721992
112,112,0.7407,0.100352697
113,113,0.6599,0.152460581
114,114,0.4627,0.189211618
115,115,0,0.23213278
116,116,0,0.16479668
117,117,0,0.083107884
118,118,0,0.152107884
119,119,0,0.080767635
120,120,0,0.073589212
121,121,0,0.060514523
122,122,0,0.161705394
123,123,0,0.139103734
124,124,0,0.326817427
125,125,0,0.475995851
126,126,0,0.733917012
127,127,0,0.900029046
128,128,0,0.886522822
129,129,0,0.928593361
130,130,0.21586,0.926253112
131,131,0.6147,0.563655602
132,132,0.7374,0.301082988
133,133,0.7326,0.337406639
134,134,0.7176,0.645348548
135,135,0.67426,0.943074689
136,136,0.71856,0.949
137,137,0.80416,0.949547718
138,138,0.53682,0.858709544
139,139,0,0.942112033
140,140,0,0.947278008
141,141,0,0.949751037
142,142,0,0.927053942
143,143,0,0.724195021
144,144,0,0.534410788
145,145,0,0.423564315
146,146,0,0.33220332
147,147,0,0.194958506
148,148,0,0.092244813
149,149,0,0.096908714
150,150,0,0.024224066
151,151,0,0.012763485
152,152,0,0.001995851
153,153,0,0
154,154,0.16886,0.007502075
155,155,0.67366,0.090120332
156,156,0.76312,0.043394191
157,157,0.75256,0.090788382
158,158,0.77084,0.186775934
159,159,0.78296,0.267634855
160,160,0.7587,0.376012448
161,161,0.73112,0.430058091
162,162,0.5531,0.549568465
163,163,0,0.78393361
164,164,0,0.884323651
165,165,0,0.943215768
166,166,0,0.910427386
167,167,0,0.922165975
168,168,0,0.930302905
169,169,0,0.94693361
170,170,0,0.948360996
171,171,0,0.9423361
172,172,0,0.079153527
173,173,0,0.427107884
174,174,0,0.4273361
175,175,0,0.427182573
176,176,0,0.426248963
177,177,0,0.726307054
178,178,0.21994,0.721136929
179,179,0.63576,0.720639004
180,180,0.70838,0.723585062
181,181,0.68158,0.727020747
182,182,0.70614,0.718107884
183,183,0.67858,0.716456432
184,184,0.5536,0.720568465
185,185,0.6533,0.719165975
186,186,0.32886,0.72526971
187,187,0,0.72693361
188,188,0,0.724053942
189,189,0,0.330207469
190,190,0,0.93473029
191,191,0,0.943775934
192,192,0,0.94426556
193,193,0,0.943896266
194,194,0,0.947780083
195,195,0,0.946804979
196,196,0,0.939165975
197,197,0,0.949095436
198,198,0,0.946348548
199,199,0,0.950157676
200,200,0,0.94833195
201,201,0,0.922900415
202,202,0.01448,0.900792531
203,203,0.20152,0.881887967
204,204,0.74804,0.872979253
205,205,0.74106,0.86986722
206,206,0.73128,0.658585062
207,207,0.71616,0.600161826
208,208,0.72816,0.461394191
209,209,0.71968,0.27640249
210,210,0.56804,0.172273859
211,211,0,0.457941909
212,212,0,0.689406639
213,213,0,0.845502075
214,214,0,0.941900415
215,215,0,0.94926971
216,216,0,0.915879668
217,217,0,0.849593361
218,218,0,0.598717842
219,219,0,0.678929461
220,220,0,0.772248963
221,221,0,0.938360996
222,222,0,0.940302905
223,223,0,0.947858921
224,224,0,0.631311203
225,225,0,0.629024896
226,226,0.21784,0.528502075
227,227,0.5162,0.314804979
228,228,0.41728,0.329543568
229,229,0.4998,0.648195021
230,230,0.42832,0.393452282
231,231,0.5697,0.901966805
232,232,0.42842,0.923821577
233,233,0.64302,0.927838174
234,234,0.54696,0.929074689
235,235,0,0.948929461
236,236,0,0.949012448
237,237,0,0.917128631
238,238,0,0.658315353
239,239,0,0.523253112
240,240,0,0.851473029
241,241,0,0.946651452
242,242,0,0.913352697
243,243,0,0.752431535
244,244,0,0.942352697
245,245,0,0.948286307
246,246,0,0.949572614
247,247,0,0.90519917
248,248,0,0.907215768
249,249,0,0.905576763
250,250,0.20746,0.854186722
251,251,0.67044,0.675058091
252,252,0.77038,0.352452282
253,253,0.71772,0.298564315
254,254,0.68948,0.227551867
255,255,0.75428,0.206248963
256,256,0.70468,0.159029046
257,257,0.74898,0.149041494
258,258,0.49424,0.157078838
259,259,0,0.247987552
260,260,0,0.536037344
261,261,0,0.584780083
262,262,0,0.635958506
263,263,0,0.867556017
264,264,0,0.949228216
265,265,0,0.949759336
266,266,0,0.947278008
267,267,0,0.948809129
268,268,0,0.947460581
269,269,0,0.948008299
270,270,0,0.944427386
271,271,0,0.946053942
272,272,0,0.940248963
273,273,0,0.93726556
274,274,0.24116,0.936282158
275,275,0.69828,0.938709544
276,276,0.73358,0.94433195
277,277,0.69914,0.949929461
278,278,0.71302,0.949522822
279,279,0.71172,0.901261411
280,280,0.71928,0.644207469
281,281,0.74798,0.388921162
282,282,0.5522,0.274892116
283,283,0,0.490074689
284,284,0,0.667414938
285,285,0,0.861419087
286,286,0,0.911489627
287,287,0,0.924883817
288,288,0,0.944896266
289,289,0,0.949962656
290,290,0,0.949970954
291,291,0,0.950070539
292,292,0,0.943917012
293,293,0,0.938278008
294,294,0,0.816033195
295,295,0,0.818713693
296,296,0,0.867423237
