SA Param,R,batch_d_rt,batch_c_rt,vd,vc,Lower bound,Upper bound,Optimality Gap,Status,Objective
Baseline,0.95,10,20,0.0,0.0,36998.3876720003,36998.3876720003,0.0,optimal,36998.38767200028
R,0.0,10,20,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.05,10,20,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.1,10,20,0.0,0.0,160.557417373927,160.557417373927,0.0,optimal,160.55741737392685
R,0.15000000000000002,10,20,0.0,0.0,868.751305064589,868.751305064589,0.0,optimal,868.7513050645889
R,0.2,10,20,0.0,0.0,1830.80247875374,1830.80247875374,0.0,optimal,1830.8024787537427
R,0.25,10,20,0.0,0.0,2958.14091688743,2958.14091688743,0.0,optimal,2958.1409168874347
R,0.30000000000000004,10,20,0.0,0.0,4178.2618423871,4178.2618423871,0.0,optimal,4178.261842387098
R,0.35000000000000003,10,20,0.0,0.0,5587.80404536627,5587.80404536627,0.0,optimal,5587.804045366266
R,0.4,10,20,0.0,0.0,7215.97921362342,7215.97921362342,0.0,optimal,7215.979213623425
R,0.45,10,20,0.0,0.0,8991.06518735906,8991.06518735906,0.0,optimal,8991.06518735906
R,0.5,10,20,0.0,0.0,10957.4172033173,10957.4172033173,0.0,optimal,10957.417203317258
R,0.55,10,20,0.0,0.0,13133.7123866812,13133.7123866812,0.0,optimal,13133.712386681154
R,0.6000000000000001,10,20,0.0,0.0,15506.4140809436,15506.4140809436,0.0,optimal,15506.414080943558
R,0.65,10,20,0.0,0.0,18063.1048888146,18063.1048888146,0.0,optimal,18063.10488881457
R,0.7000000000000001,10,20,0.0,0.0,20777.1527260501,20777.1527260501,0.0,optimal,20777.15272605015
R,0.75,10,20,0.0,0.0,23662.1134927159,23662.1134927159,0.0,optimal,23662.1134927159
R,0.8,10,20,0.0,0.0,26730.3847581096,26730.3847581096,0.0,optimal,26730.38475810957
R,0.8500000000000001,10,20,0.0,0.0,29968.8638916231,29968.8638916231,0.0,optimal,29968.86389162312
R,0.9,10,20,0.0,0.0,33381.3407041437,33381.3407041437,0.0,optimal,33381.34070414366
R,0.9500000000000001,10,20,0.0,0.0,36998.3876720004,36998.3876720004,0.0,optimal,36998.38767200029
