SA Param,R,valid_pair_span,DandC,Lower bound,Upper bound,Optimality Gap,Status,Objective
Baseline,0.675,30,0.2,260.864386966702,260.864386966702,0.0,feasible,260.86438696670183
R,0.6,30,0.2,202.702201909878,202.702201909878,0.0,feasible,202.702201909878
R,0.61,30,0.2,210.1535006717,210.1535006717,0.0,feasible,210.15350067170024
R,0.62,30,0.2,217.716426493639,217.716426493639,0.0,feasible,217.71642649363855
R,0.63,30,0.2,225.389528290216,225.389528290216,0.0,feasible,225.38952829021548
R,0.64,30,0.2,233.062630086793,233.062630086793,0.0,feasible,233.06263008679258
R,0.65,30,0.2,240.886394565442,240.886394565442,0.0,feasible,240.88639456544155
R,0.66,30,0.2,248.777530510211,248.777530510211,0.0,feasible,248.77753051021125
R,0.67,30,0.2,256.805204370291,256.805204370291,0.0,feasible,256.80520437029054
R,0.68,30,0.2,264.973726798507,264.973726798507,0.0,feasible,264.97372679850645
R,0.6900000000000001,30,0.2,273.268926216352,273.268926216352,0.0,feasible,273.26892621635193
R,0.7000000000000001,30,0.2,281.602932647796,281.602932647796,0.0,feasible,281.602932647796
R,0.7100000000000001,30,0.2,290.140447552147,290.140447552147,0.0,feasible,290.1404475521465
R,0.7200000000000001,30,0.2,298.998366797122,298.998366797122,0.0,feasible,298.99836679712234
R,0.7300000000000001,30,0.2,308.090144487004,308.090144487004,0.0,feasible,308.0901444870035
R,0.7400000000000001,30,0.2,317.374667050375,317.374667050375,0.0,feasible,317.37466705037497
R,0.7500000000000001,30,0.2,326.773948874992,326.773948874992,0.0,feasible,326.77394887499185
R,0.7600000000000001,30,0.2,336.283351001033,336.283351001033,0.0,feasible,336.2833510010329
R,0.7700000000000001,30,0.2,346.031184609408,346.031184609408,0.0,feasible,346.0311846094081
R,0.7800000000000001,30,0.2,355.839146828309,355.839146828309,0.0,feasible,355.8391468283094
R,0.7900000000000001,30,0.2,366.08977878833,366.08977878833,0.0,feasible,366.08977878832985
R,0.8000000000000002,30,0.2,376.59955015219,376.59955015219,0.0,feasible,376.59955015219043
R,0.8100000000000002,30,0.2,387.372153846664,387.372153846664,0.0,feasible,387.3721538466638
R,0.8200000000000002,30,0.2,398.377301854644,398.377301854644,0.0,feasible,398.3773018546441
R,0.8300000000000002,30,0.2,409.531870979632,409.531870979632,0.0,feasible,409.5318709796317
R,0.8400000000000002,30,0.2,421.006387100887,421.006387100887,0.0,feasible,421.0063871008874
R,0.8500000000000002,30,0.2,432.806604343346,432.806604343346,0.0,feasible,432.8066043433457
R,0.8600000000000002,30,0.2,444.853873574205,444.853873574205,0.0,feasible,444.85387357420524
R,0.8700000000000002,30,0.2,457.235605162892,457.235605162892,0.0,feasible,457.2356051628919
R,0.8800000000000002,30,0.2,469.87922147821,469.87922147821,0.0,feasible,469.87922147820996
R,0.8900000000000002,30,0.2,483.032626626879,483.032626626879,0.0,feasible,483.0326266268786
R,0.9000000000000002,30,0.2,496.511094912512,496.511094912512,0.0,feasible,496.5110949125124
R,0.9100000000000003,30,0.2,510.244772836759,510.244772836759,0.0,feasible,510.24477283675947
R,0.9200000000000003,30,0.2,524.302992359876,524.302992359876,0.0,feasible,524.3029923598763
R,0.9300000000000003,30,0.2,538.762186050018,538.762186050018,0.0,feasible,538.7621860500177
R,0.9400000000000003,30,0.2,553.493863505566,553.493863505566,0.0,feasible,553.4938635055665
R,0.9500000000000003,30,0.2,568.559301220423,568.559301220423,0.0,feasible,568.5593012204232
R,0.9600000000000003,30,0.2,584.133966531768,584.133966531768,0.0,feasible,584.1339665317681
R,0.9700000000000003,30,0.2,600.056711319549,600.056711319549,0.0,feasible,600.0567113195483
R,0.9800000000000003,30,0.2,616.462460750677,616.462460750677,0.0,feasible,616.4624607506776
R,0.9900000000000003,30,0.2,633.178974997118,633.178974997118,0.0,feasible,633.1789749971184
R,1.0000000000000004,30,0.2,650.223777913758,650.223777913758,0.0,feasible,650.2237779137575
R,1.0100000000000002,30,0.2,669.304267314267,669.304267314267,0.0,feasible,669.3042673142671
R,1.0200000000000005,30,0.2,688.618084801579,688.618084801579,0.0,feasible,688.6180848015786
R,1.0300000000000002,30,0.2,708.384289809073,708.384289809073,0.0,feasible,708.3842898090733
R,1.0400000000000005,30,0.2,728.738665723607,728.738665723607,0.0,feasible,728.7386657236069
