SA Param,R,batch_d_rt,batch_c_rt,vd,vc,Lower bound,Upper bound,Optimality Gap,Status,Objective
Baseline,0.95,21,31,0.0,0.0,25.5329754918699,25.5329754918699,0.0,optimal,25.532975491869905
R,0.0,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.05,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.1,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.15000000000000002,21,31,0.0,0.0,0.0,0.0,0.0,optimal,0.0
R,0.2,21,31,0.0,0.0,0.304508043353756,0.304508043353756,0.0,optimal,0.3045080433537563
R,0.25,21,31,0.0,0.0,0.703729273184728,0.703729273184728,0.0,optimal,0.7037292731847276
R,0.30000000000000004,21,31,0.0,0.0,1.47371741970913,1.47371741970913,0.0,optimal,1.4737174197091263
R,0.35000000000000003,21,31,0.0,0.0,2.47830684618845,2.47830684618845,0.0,optimal,2.4783068461884468
R,0.4,21,31,0.0,0.0,3.58106186858968,3.58106186858968,0.0,optimal,3.5810618685896807
R,0.45,21,31,0.0,0.0,4.88070834331457,4.88070834331457,0.0,optimal,4.880708343314565
R,0.5,21,31,0.0,0.0,6.21332458773726,6.21332458773726,0.0,optimal,6.213324587737254
R,0.55,21,31,0.0,0.0,7.68227845871489,7.68227845871489,0.0,optimal,7.682278458714883
R,0.6000000000000001,21,31,0.0,0.0,9.3950667592787,9.3950667592787,0.0,optimal,9.395066759278691
R,0.65,21,31,0.0,0.0,11.2319399845304,11.2319399845304,0.0,optimal,11.23193998453044
R,0.7000000000000001,21,31,0.0,0.0,13.2002567980532,13.2002567980532,0.0,optimal,13.200256798053232
R,0.75,21,31,0.0,0.0,15.3806358821601,15.3806358821601,0.0,optimal,15.380635882160082
R,0.8,21,31,0.0,0.0,17.7279313967538,17.7279313967538,0.0,optimal,17.727931396753824
R,0.8500000000000001,21,31,0.0,0.0,20.1786155906708,20.1786155906708,0.0,optimal,20.178615590670784
R,0.9,21,31,0.0,0.0,22.7843817158171,22.7843817158171,0.0,optimal,22.7843817158171
R,0.9500000000000001,21,31,0.0,0.0,25.5329754918699,25.5329754918699,0.0,optimal,25.532975491869916
R,1.0,21,31,0.0,0.0,28.3955963555401,28.3955963555401,0.0,optimal,28.395596355540086
batch_d_rt,0.95,40,31,0.0,0.0,15.5780089308564,15.5780089308564,0.0,optimal,15.578008930856429
batch_d_rt,0.95,39,31,0.0,0.0,15.8990654822532,15.8990654822532,0.0,optimal,15.899065482253162
batch_d_rt,0.95,38,31,0.0,0.0,16.235803981787,16.235803981787,0.0,optimal,16.235803981787033
batch_d_rt,0.95,37,31,0.0,0.0,16.5841408925146,16.5841408925146,0.0,optimal,16.584140892514565
batch_d_rt,0.95,36,31,0.0,0.0,16.9504200656877,16.9504200656877,0.0,optimal,16.950420065687737
batch_d_rt,0.95,35,31,0.0,0.0,17.3349467931933,17.3349467931933,0.0,optimal,17.334946793193318
batch_d_rt,0.95,34,31,0.0,0.0,17.7305760708812,17.7305760708812,0.0,optimal,17.730576070881185
batch_d_rt,0.95,33,31,0.0,0.0,18.1499957148094,18.1499957148094,0.0,optimal,18.1499957148094
batch_d_rt,0.95,32,31,0.0,0.0,18.592606051486,18.592606051486,0.0,optimal,18.592606051486037
batch_d_rt,0.95,31,31,0.0,0.0,19.0580827296645,19.0580827296645,0.0,optimal,19.05808272966445
batch_d_rt,0.95,30,31,0.0,0.0,19.5523920455101,19.5523920455101,0.0,optimal,19.552392045510047
batch_d_rt,0.95,29,31,0.0,0.0,20.0667962141197,20.0667962141197,0.0,optimal,20.066796214119666
batch_d_rt,0.95,28,31,0.0,0.0,20.6074561834775,20.6074561834775,0.0,optimal,20.60745618347751
