SA Param,R,batch_d_rt,batch_c_rt,vd,vc,p,Lower bound,Upper bound,Optimality Gap,Status,Objective
Baseline,0.95,21,31,0.0,0.0,43.03994190705129,25.4475863124117,25.4475863124117,0.0,optimal,25.44758631241165
p: HB_BUSAVG,0.95,21,31,0.0,0.0,41.02268437406409,25.5024258851694,25.5024258851694,0.0,optimal,25.502425885169423
p: HB_HOUSTON,0.95,21,31,0.0,0.0,43.41060543950283,26.3104884477067,26.3104884477067,0.0,optimal,26.31048844770673
p: HB_HUBAVG,0.95,21,31,0.0,0.0,40.89791853848457,25.8181331267236,25.8181331267236,0.0,optimal,25.81813312672358
p: HB_NORTH,0.95,21,31,0.0,0.0,41.145159010931415,25.3784242636504,25.3784242636504,0.0,optimal,25.3784242636504
p: HB_PAN,0.95,21,31,0.0,0.0,33.445079177897576,30.0296602328651,30.0296602328651,0.0,optimal,30.029660232865076
p: HB_SOUTH,0.95,21,31,0.0,0.0,40.58997856768493,24.5598716148578,24.5598716148578,0.0,optimal,24.55987161485777
p: HB_WEST,0.95,21,31,0.0,0.0,38.444914925876006,27.8495349844779,27.8495349844779,0.0,optimal,27.84953498447789
p: LZ_AEN,0.95,21,31,0.0,0.0,42.64955778301887,25.4475863124117,25.4475863124117,0.0,optimal,25.44758631241165
p: LZ_CPS,0.95,21,31,0.0,0.0,42.97835841569333,25.2530182468808,25.2530182468808,0.0,optimal,25.25301824688085
p: LZ_HOUSTON,0.95,21,31,0.0,0.0,43.79242625037437,26.2751857281053,26.2751857281053,0.0,optimal,26.27518572810529
p: LZ_LCRA,0.95,21,31,0.0,0.0,42.544519410751725,26.0243436203157,26.0243436203157,0.0,optimal,26.024343620315715
p: LZ_NORTH,0.95,21,31,0.0,0.0,41.584734950584,25.281836455809,25.281836455809,0.0,optimal,25.28183645580905
p: LZ_RAYBN,0.95,21,31,0.0,0.0,41.97508048817011,24.8409619701791,24.8409619701791,0.0,optimal,24.840961970179084
p: LZ_SOUTH,0.95,21,31,0.0,0.0,42.49568920335429,25.6769348521748,25.6769348521748,0.0,optimal,25.676934852174764
p: LZ_WEST,0.95,21,31,0.0,0.0,46.37947654612159,22.4546831718902,22.4546831718902,0.0,optimal,22.45468317189023
Baseline,0.95,21,31,0.0,0.0,43.03994190705129,25.4475863124117,25.4475863124117,0.0,optimal,25.447586312411655
p: HB_BUSAVG (Mean Ref.),0.95,21,31,0.0,0.0,41.02268437406409,25.5024258851694,25.5024258851694,0.0,optimal,25.502425885169423
p: HB_HOUSTON (Mean Ref.),0.95,21,31,0.0,0.0,43.41060543950283,26.3104884477067,26.3104884477067,0.0,optimal,26.310488447706735
p: HB_HUBAVG (Mean Ref.),0.95,21,31,0.0,0.0,40.89791853848457,25.8181331267236,25.8181331267236,0.0,optimal,25.81813312672358
p: HB_NORTH (Mean Ref.),0.95,21,31,0.0,0.0,41.145159010931415,25.3784242636504,25.3784242636504,0.0,optimal,25.3784242636504
p: HB_PAN (Mean Ref.),0.95,21,31,0.0,0.0,33.445079177897576,30.0296602328651,30.0296602328651,0.0,optimal,30.029660232865073
p: HB_SOUTH (Mean Ref.),0.95,21,31,0.0,0.0,40.58997856768493,24.5598716148578,24.5598716148578,0.0,optimal,24.55987161485777
p: HB_WEST (Mean Ref.),0.95,21,31,0.0,0.0,38.444914925876006,27.8495349844779,27.8495349844779,0.0,optimal,27.84953498447789
p: LZ_AEN (Mean Ref.),0.95,21,31,0.0,0.0,42.64955778301887,25.4475863124117,25.4475863124117,0.0,optimal,25.447586312411655
p: LZ_CPS (Mean Ref.),0.95,21,31,0.0,0.0,42.97835841569333,25.2530182468808,25.2530182468808,0.0,optimal,25.25301824688085
p: LZ_HOUSTON (Mean Ref.),0.95,21,31,0.0,0.0,43.79242625037437,26.2751857281053,26.2751857281053,0.0,optimal,26.275185728105292
p: LZ_LCRA (Mean Ref.),0.95,21,31,0.0,0.0,42.544519410751725,26.0243436203157,26.0243436203157,0.0,optimal,26.024343620315715
p: LZ_NORTH (Mean Ref.),0.95,21,31,0.0,0.0,41.584734950584,25.281836455809,25.281836455809,0.0,optimal,25.28183645580905
p: LZ_RAYBN (Mean Ref.),0.95,21,31,0.0,0.0,41.97508048817011,24.8409619701791,24.8409619701791,0.0,optimal,24.840961970179084
p: LZ_SOUTH (Mean Ref.),0.95,21,31,0.0,0.0,42.49568920335429,25.6769348521748,25.6769348521748,0.0,optimal,25.676934852174764
p: LZ_WEST (Mean Ref.),0.95,21,31,0.0,0.0,46.37947654612159,22.4546831718902,22.4546831718902,0.0,optimal,22.45468317189023
